	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
johnny11w					http://pbs.twimg.com/profile_images/1906357386/twitta2_normal.png					"johnny11w

RT @ElevenDubcast: Oh right, the
iTunes thing. We figured it out,
update your bookmarks/RSS feeds
accordingly :) https://t.co/CB2vo7n1ar"																			204	2033	11017	7	-14400	i write for the ohio state sports blog known as eleven warriors dot com. i'm not very good at it but i make oblique pop culture references so it all works out	c-bus	http://t.co/6IRGIfi5u3	Eastern Time (US & Canada)	40464.89266	Open Twitter Page for This Person	https://twitter.com/johnny11w	Yes					
obscurelythin					http://pbs.twimg.com/profile_images/526084373980798976/7vnaIvdQ_normal.jpeg					"obscurelythin

apple-cinnamon tea with a Swedish
elixer made of herbs. It should
be advancing my metabolism :) #Skinny4Xmas
#Skinny4XUnofficial"																			90	433	2679	113	3600	black coffee & cigarette smoke | #Vegetarian | @rainbowxtears			Ljubljana	41867.60226	Open Twitter Page for This Person	https://twitter.com/obscurelythin	Yes					
gabrielanalin_					http://pbs.twimg.com/profile_images/505385516515475456/mixaotm-_normal.jpeg					"gabrielanalin_

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			2000	780	33378	13299	-7200	02/11/2013. Jerome Jarre follows. https://t.co/IrEXg1M89p			Brasilia	41123.86593	Open Twitter Page for This Person	https://twitter.com/gabrielanalin_	Yes					
lulens					http://pbs.twimg.com/profile_images/521085119302733824/60LLpLo0_normal.jpeg					"lulens

RT @mery_rox: Una MacBook Pro a
este precio increíble? WOW! 6000
pe para tuiteros http://t.co/VkGZ8votlb
RT porfi :)"																			803	7179	75745	71356	-7200	¡qué difícil que es vivir!	Argentina		Mid-Atlantic	39440.40296	Open Twitter Page for This Person	https://twitter.com/lulens	Yes					
mery_rox					http://pbs.twimg.com/profile_images/521460640687591424/m19voiUM_normal.jpeg					"mery_rox

"																			393	7800	99906	29663	-10800	No me llamo Mery ni me llamo Rox.		http://t.co/s2bzbq6GK9	Buenos Aires	40311.78647	Open Twitter Page for This Person	https://twitter.com/mery_rox	No					
kaoticchirpster					http://pbs.twimg.com/profile_images/522635656666050560/Wb1DEF7C_normal.jpeg					"kaoticchirpster

RT @ZGMaryland: Omg y'all don't
leave me lonely is amazing you
guys should totally download this
song :) here is the link https://t.co/MHOG…"																			1517	819	29698	10028	-14400	32.Wife & Mother. Fan of the backstreet boys @zerognation.. @backstreetboys followed me on 5/13/12. Zg StreetTeam leader for MD. 1/3 @ZGGravitators. Nick girl	Maryland 	http://t.co/iwyZnSc1ib	Eastern Time (US & Canada)	40861.98493	Open Twitter Page for This Person	https://twitter.com/kaoticchirpster	Yes					
zgmaryland					http://pbs.twimg.com/profile_images/522628402881519616/-5qaHfJE_normal.jpeg					"zgmaryland

"																			77	43	156	82		Hey y'all this the Official ZG Street Team Page for the beautiful state of Maryland. If you have any questions just ask. Tell everyone about @zerognation. ?	S. Maryland	http://t.co/I4ipZfNWYM		41926.06858	Open Twitter Page for This Person	https://twitter.com/zgmaryland	No					
foryoumrb					http://pbs.twimg.com/profile_images/518167998834561026/s9ZDZiTT_normal.png					"foryoumrb

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			471	691	10416	132		"lembrei você, então sorri"	felipe % 			41598.56699	Open Twitter Page for This Person	https://twitter.com/foryoumrb	Yes					
janosknias					http://pbs.twimg.com/profile_images/527098023223263232/3O65PIXE_normal.jpeg					"janosknias

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			520	538	1944	254		5 aussies more like 5 pussies				41922.33238	Open Twitter Page for This Person	https://twitter.com/janosknias	Yes					
__s0phiaaa					http://pbs.twimg.com/profile_images/527218977794433024/AAV3Vx3C_normal.jpeg					"__s0phiaaa

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			383	301	4131	5972		|wwat 8.11.14| I like bands and I may or may not be obssessed with 9 boys who've changed my life forevever. Youtubers give me life				41685.20044	Open Twitter Page for This Person	https://twitter.com/__s0phiaaa	Yes					
zaynmalik					http://pbs.twimg.com/profile_images/511074423752101888/i2nLCg1a_normal.jpeg					"zaynmalik

"																			2102	13381407	2366	2	-36000	just close your eyes and enjoy the roller coaster that is life :) x	england	http://t.co/BmZBWBQb9K	Hawaii	40399.91262	Open Twitter Page for This Person	https://twitter.com/zaynmalik	No					
zubblegum					http://pbs.twimg.com/profile_images/512126237779562496/di0dKeSM_normal.jpeg					"zubblegum

I am smarter than Lady O'Shae :)
http://t.co/nwECxHgpbS http://t.co/qK8kAEcKOe"																			337	98	688	128		My name? Its zaria :) you know zar-ee-uh				40652.21895	Open Twitter Page for This Person	https://twitter.com/zubblegum	Yes					
dreworador					http://pbs.twimg.com/profile_images/523132925425229824/IScU1xYU_normal.jpeg					"dreworador

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			7301	8446	61385	3689	-10800	@forgivematt if you need me I'll come right there from a thousand miles away	mts shows pouco espaço	https://t.co/osFr4DYHlx	Santiago	40584.56199	Open Twitter Page for This Person	https://twitter.com/dreworador	Yes					
famosojaybe					http://pbs.twimg.com/profile_images/525798909231521792/fkGLFarn_normal.jpeg					"famosojaybe

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			652	570	5390	1533	-7200	? Millions of smiles in the world and I need only your! Justin Bieber ?			Brasilia	41473.94262	Open Twitter Page for This Person	https://twitter.com/famosojaybe	Yes					
goggenb					http://pbs.twimg.com/profile_images/506716705540694016/F7zLBqQI_normal.jpeg					"goggenb

Switch from Chrome to Safari because
Apple says it’s better and want
to give it a try. Realize I need
Chrome for Chromecast, switch back
:)"																			99	21	113	0	3600	IT Consultant	Bryne		Paris	40017.9138	Open Twitter Page for This Person	https://twitter.com/goggenb	Yes					
directizer					http://pbs.twimg.com/profile_images/527203919198683138/jfV2RXHu_normal.jpeg					"directizer

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1693	1656	11345	1113	-7200	"Sim, defendo 4 gays, 1 bi e 5 lesbicas ... Dificil a vida hoje em dia | AUSTIN MAHONE FOLLOWS %% 1/12 Magcon 5/7 Cimorelli 2/5 TheVamps & Others"	1D • 5H • MG • JB • DL • CIM	https://t.co/RmKLjxVjJa	Brasilia	41837.91796	Open Twitter Page for This Person	https://twitter.com/directizer	Yes					
cynthiadoll_					http://pbs.twimg.com/profile_images/527218611790704640/PP1Do9X2_normal.jpeg					"cynthiadoll_

Just nine more days and I'll be
in the big apple :D"																			143	126	467	154	0	Careful now	Listowel/Cork		Casablanca	40263.94985	Open Twitter Page for This Person	https://twitter.com/cynthiadoll_	Yes					
yorksjat					http://pbs.twimg.com/profile_images/525209240185499648/5bodXwFQ_normal.png					"yorksjat

@lucyweather and the way Apple
is going by 2050 a smartphone will
be 97 million quid :P"																			270	425	10582	363	0	Virtualisation professional. Hyperconvergence specialist. Grumpy old man. Vote none of the above!	"Harrogate, UK"	http://t.co/PqLXNrM9Pv	London	39856.41326	Open Twitter Page for This Person	https://twitter.com/yorksjat	Yes					
lucyweather					http://pbs.twimg.com/profile_images/3257752654/8371074bf83d5bb905610479562ca716_normal.jpeg					"lucyweather

"																			657	119642	22999	2303		"Weather presenter on ITV. 
Formerly Sky News, Sky Sports News, Channel 5 & meteorologist at Press Association/Meteogroup."	ITV News			40335.70296	Open Twitter Page for This Person	https://twitter.com/lucyweather	No					
josianedrh					http://pbs.twimg.com/profile_images/526878764420956160/Tc3Qg8zW_normal.png					"josianedrh

Aidez moi à gagner Apple - iPhone
6 plus - 64 go - Or sur @weetix
svp :) http://t.co/vMyxen2MIt MERCI"																			26	4	404	0	3600	Orga Weetix	Saint-Mitre (France)	http://t.co/QDCA03sOdP	Paris	41848.45506	Open Twitter Page for This Person	https://twitter.com/josianedrh	Yes					
